parameter,perturbation,perturbed_value,rmse_natural,r2_natural,rmse_pumping,r2_pumping,delta_rmse_nat_pct,delta_r2_nat_pct,delta_rmse_pump_pct,delta_r2_pump_pct,sensitivity_rmse_nat,sensitivity_r2_nat,sensitivity_rmse_pump,sensitivity_r2_pump
BASE,0.0,,0.041094353877820136,0.8990789290456864,0.2046881778768625,0.8502016356492854,0.0,0.0,0.0,0.0,,,,
clean_gravel,-0.2,0.048,0.041439880576492054,0.8973746791517574,0.20485752969357462,0.8499536572856913,0.8408130705722298,-0.1895550923140845,0.08273649141280952,-0.029167006177865055,-0.042040653528611485,0.009477754615704223,-0.004136824570640476,0.0014583503088932527
clean_gravel,-0.1,0.054,0.041191088803095445,0.8986032392359862,0.20474133902039438,0.8501238149704804,0.23539711942647096,-0.05290857057512918,0.025971770369590093,-0.009153202668869017,-0.023539711942647094,0.0052908570575129175,-0.002597177036959009,0.0009153202668869015
clean_gravel,0.1,0.066,0.04100947740719612,0.8994953842303985,0.2045678439997808,0.8503777134234093,-0.20654046752107943,0.046320202960840905,-0.05878887502436827,0.020710119428246576,-0.02065404675210794,0.00463202029608409,-0.005878887502436827,0.0020710119428246575
clean_gravel,0.2,0.072,0.04093746398545838,0.8998480503449778,0.20450375576971205,0.8504714478567816,-0.38177967909706567,0.08554547041913003,-0.09009905167136255,0.03173508450029875,-0.019088983954853284,0.004277273520956501,-0.004504952583568127,0.0015867542250149374
clayey_sand,-0.2,1.096e-05,0.04266355769958602,0.8912243532518381,0.20677903684938556,0.8471256696609162,3.818538737538904,-0.8736247219346375,1.021484970070374,-0.36179252772434006,-0.1909269368769452,0.04368123609673187,-0.0510742485035187,0.018089626386217004
clayey_sand,-0.1,1.2329999999999999e-05,0.0417938684557431,0.895613897978329,0.20563886876265117,0.8488069028113487,1.7022157837125986,-0.3853978728024812,0.464458131216836,-0.16404730118773989,-0.17022157837125984,0.038539787280248115,-0.046445813121683596,0.01640473011877399
clayey_sand,0.1,1.507e-05,0.040528153183131986,0.9018407649142183,0.2038130031938174,0.8514798674378432,-1.3778065385126925,0.30718502895661853,-0.4275648413713427,0.15034454592428864,-0.13778065385126925,0.030718502895661852,-0.04275648413713427,0.015034454592428864
clayey_sand,0.2,1.644e-05,0.04006979464263771,0.9040484994400502,0.20305061168459526,0.8525889106183584,-2.4931873566587672,0.5527401692795334,-0.8000296886967129,0.28078927032995643,-0.12465936783293836,0.027637008463976667,-0.040001484434835644,0.01403946351649782
loamy_sand,-0.2,1.2e-05,0.04043990874392503,0.902267755823686,0.20524400406178422,0.8493869828238714,-1.592542702680941,0.3546770672719823,0.2715477711937537,-0.09581877889377434,0.07962713513404704,-0.017733853363599113,-0.013577388559687683,0.004790938944688717
