time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788745,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21906212
1.948280537101,37.21676274,37.20658396,37.19057313,37.23611899,37.28797047,37.53503278,37.23253842,37.55068499,37.15886372,37.18738842,37.39873214,37.21904855
3.275873289043,37.21350865,37.20658395,37.19057313,37.23611899,37.28797047,37.53503278,37.23253841,37.55068499,37.15886372,37.18738843,37.39873214,37.21900977
5.134503141762,37.20670772,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253840,37.55068499,37.15886373,37.18738843,37.39873214,37.21893178
7.736584935567,37.19465730,37.20658395,37.19057313,37.23611898,37.28797047,37.53503278,37.23253838,37.55068499,37.15886373,37.18738843,37.39873214,37.21879733
11.37949944690,37.17573009,37.20658395,37.19057313,37.23611897,37.28797047,37.53503278,37.23253835,37.55068499,37.15886374,37.18738844,37.39873214,37.21858353
16.47957976276,37.14890027,37.20658395,37.19057313,37.23611895,37.28797047,37.53503278,37.23253832,37.55068499,37.15886376,37.18738845,37.39873214,37.21826229
23.61969220496,37.11417334,37.20658394,37.19057313,37.23611894,37.28797047,37.53503278,37.23253827,37.55068499,37.15886377,37.18738845,37.39873214,37.21780097
33.61584962404,37.07261234,37.20658393,37.19057313,37.23611891,37.28797047,37.53503278,37.23253820,37.55068499,37.15886380,37.18738847,37.39873214,37.21708934
47.61047001076,37.02590560,37.20658392,37.19057313,37.23611888,37.28797047,37.53503278,37.23253811,37.55068499,37.15886383,37.18738848,37.39873214,37.21609163
67.20293855217,36.97575286,37.20658391,37.19057313,37.23611884,37.28797047,37.53503278,37.23253798,37.55068499,37.15886388,37.18738850,37.39873214,37.21470687
94.63239451014,36.92346335,37.20658388,37.19057313,37.23611879,37.28797047,37.53503278,37.23253779,37.55068499,37.15886393,37.18738852,37.39873214,37.21278813
133.0336328513,36.86986600,37.20658383,37.19057313,37.23611872,37.28797048,37.53503278,37.23253754,37.55068499,37.15886401,37.18738854,37.39873214,37.21020562
186.7953665289,36.81542883,37.20658370,37.19057313,37.23611864,37.28797048,37.53503278,37.23253719,37.55068499,37.15886412,37.18738855,37.39873214,37.20670043
262.0617936776,36.76040586,37.20658318,37.19057313,37.23611854,37.28797048,37.53503278,37.23253671,37.55068499,37.15886425,37.18738855,37.39873214,37.20204189
367.4347916857,36.70494166,37.20657988,37.19057311,37.23611841,37.28797049,37.53503277,37.23253605,37.55068499,37.15886442,37.18738852,37.39873213,37.19595564
514.9569888971,36.64912557,37.20655807,37.19057306,37.23611819,37.28797050,37.53503277,37.23253515,37.55068498,37.15886463,37.18738846,37.39873213,37.18813874
721.4880649930,36.59301741,37.20644444,37.19057290,37.23611768,37.28797051,37.53503276,37.23253394,37.55068498,37.15886487,37.18738832,37.39873212,37.17828009
1010.631571527,36.53664702,37.20599728,37.19057240,37.23611609,37.28797052,37.53503276,37.23253230,37.55068497,37.15886511,37.18738810,37.39873210,37.16606759
1415.432480675,36.48004075,37.20464071,37.19057083,37.23610913,37.28797050,37.53503275,37.23253009,37.55068496,37.15886532,37.18738774,37.39873207,37.15119745
1982.153753483,36.42323321,37.20135697,37.19056466,37.23607449,37.28797040,37.53503274,37.23252714,37.55068495,37.15886538,37.18738719,37.39873202,37.13349045
2775.563535413,36.36622673,37.19478896,37.19053503,37.23592200,37.28797008,37.53503273,37.23252317,37.55068492,37.15886519,37.18738641,37.39873194,37.11261156
3886.337230115,36.30904596,37.18356122,37.19040105,37.23537908,37.28796919,37.53503273,37.23251795,37.55068487,37.15886462,37.18738529,37.39873182,37.08831698
5441.420402698,36.25170431,37.16666049,37.18990688,37.23382987,37.28796698,37.53503273,37.23251109,37.55068479,37.15886353,37.18738378,37.39873164,37.06050816
7618.536844314,36.19416574,37.14366156,37.18845776,37.23021898,37.28796168,37.53503274,37.23250220,37.55068463,37.15886169,37.18738177,37.39873138,37.02910841
10666.49986258,36.13635112,37.11468422,37.18501990,37.22314930,37.28794942,37.53503277,37.23249089,37.55068432,37.15885862,37.18737921,37.39873099,36.99409811
14933.64808815,36.07800440,37.08020913,37.17822279,37.21115707,37.28792197,37.53503284,37.23247683,37.55068372,37.15885217,37.18737589,37.39873043,36.95538954
20907.65560394,36.01853012,37.04078162,37.16666068,37.19299548,37.28786217,37.53503292,37.23245872,37.55068250,37.15883379,37.18737118,37.39872956,36.91279245
29271.26612605,35.95692932,36.99662249,37.14923026,37.16773296,37.28773473,37.53503294,37.23242806,37.55068003,37.15876734,37.18736180,37.39872820,36.86588323
40980.32085701,35.89259248,36.94789197,37.12533808,37.13471594,37.28746280,37.53503263,37.23232929,37.55067512,37.15847940,37.18732937,37.39872601,36.81444832
57372.99748035,35.82458770,36.89461330,37.09507524,37.09345938,37.28686295,37.53503121,37.23202479,37.55066538,37.15776720,37.18721743,37.39872234,36.75810658
80322.74475303,35.75246480,36.83705781,37.05924004,37.04360152,37.28547339,37.53502671,37.23117237,37.55064606,37.15624502,37.18689348,37.39871582,36.69676972
112452.3909348,35.67646160,36.77609403,37.01931999,36.98522720,37.28222189,37.53501400,37.22917465,37.55060803,37.15338085,37.18610436,37.39870408,36.63092480
157433.8955892,35.59796511,36.71328035,36.97707462,36.91926591,37.27505863,37.53498049,37.22520070,37.55053243,37.14853609,37.18445651,37.39868204,36.56212115
220408.0021055,35.51891393,36.65052299,36.93416282,36.84777529,37.26095613,37.53489584,37.21841474,37.55037948,37.14107373,37.18146542,37.39863819,36.49212902
308571.7512282,35.44149567,36.58952452,36.89174624,36.77386035,37.23662975,37.53468762,37.20833541,37.55006944,37.13056025,37.17670056,37.39854875,36.42251520
432001.0000000,35.36789141,36.53164886,36.85060009,36.70104589,37.19974364,37.53418477,37.19516412,37.54943060,37.11708778,37.16995328,37.39836303,36.35559935
