parameter,perturbation,perturbed_value,rmse_p1,r2_p1,rmse_pz12,r2_pz12,rmse_overall,r2_overall,delta_rmse_overall_pct,delta_r2_overall_pct,delta_rmse_p1_pct,delta_r2_p1_pct,sensitivity_rmse_overall,sensitivity_r2_overall,sensitivity_rmse_p1,sensitivity_r2_p1
BASE,0.0,,0.22452556925548584,0.6413930500775165,0.04996798258410131,0.8855532700519243,0.13724677591979356,0.7634731600647204,0.0,0.0,0.0,0.0,,,,
sy_clean_gravel,-0.2,0.24,0.22452588787433134,0.641392032295766,0.05010465000586635,0.8849263674338623,0.13731526894009885,0.7631591998648142,0.049905012227984914,-0.04112262438664452,0.00014190759945884767,-0.00015868300261613448,-0.0024952506113992455,0.0020561312193322257,-7.095379972942383e-06,7.934150130806723e-06
sy_clean_gravel,-0.1,0.27,0.22452594604836212,0.6413918464670952,0.04992451794014858,0.8857522864070742,0.13722523199425535,0.7635720664370846,-0.01569721794470754,0.012954793637515739,0.00016781735707794993,-0.00018765566933930515,0.001569721794470754,-0.0012954793637515738,-1.6781735707794993e-05,1.8765566933930514e-05
sy_clean_gravel,0.1,0.33,0.2245233953833557,0.6413999941586097,0.04983404221675893,0.8861660020988974,0.1371787188000573,0.7637829981287536,-0.049587408724290356,0.04058270548854777,-0.0009682069340024499,0.0010826561174014462,-0.004958740872429035,0.004058270548854776,-9.682069340024499e-05,0.0001082656117401446
sy_clean_gravel,0.2,0.36,0.2245213514963409,0.6414065229620616,0.04980707585604641,0.8862891652208209,0.13716421367619364,0.7638478440914412,-0.06015605324541487,0.04907625393000638,-0.0018785206330521771,0.002100566032558336,-0.0030078026622707434,0.0024538126965003185,-9.392603165260885e-05,0.00010502830162791681
sy_clayey_sand,-0.2,0.12,0.22452571060555707,0.6413925985553666,0.050665528827085755,0.8823356453458471,0.13759561971632142,0.7618641219506068,0.25417267122669746,-0.21075241387362126,6.295499960194735e-05,-7.039710670964304e-05,-0.012708633561334871,0.010537620693681062,-3.1477499800973677e-06,3.519855335482152e-06
sy_clayey_sand,-0.1,0.135,0.22452512539198147,0.6413944679327805,0.05026092100003458,0.8842074435828332,0.13739302319600802,0.7628009557578068,0.10655789561127652,-0.08804557148500566,-0.00019768951297609758,0.00022105871959697345,-0.01065578956112765,0.008804557148500567,1.9768951297609755e-05,-2.2105871959697344e-05
sy_clayey_sand,0.1,0.165,0.2245267389812536,0.6413893135509027,0.04950749234232328,0.8876529650322915,0.13701711566178845,0.7645211392915972,-0.16733380909386344,0.1372647110198187,0.000520976640501688,-0.0005825642503193569,-0.016733380909386343,0.01372647110198187,5.20976640501688e-05,-5.8256425031935685e-05
sy_clayey_sand,0.2,0.18,0.22452928047416532,0.6413811950374457,0.04915711719554033,0.8892375460586485,0.13684319883485282,0.7653093705480472,-0.29405214238080607,0.24050753574245612,0.0016529158312734529,-0.0018483268674795922,-0.014702607119040301,0.012025376787122805,8.264579156367263e-05,-9.24163433739796e-05
sy_loamy_sand,-0.2,0.15200000000000002,0.22452557532241554,0.6413930306976019,0.049875828729244044,0.8859750193950263,0.1372007020258298,0.7636840250463142,-0.03357011023027389,0.02761917414043118,2.7021108236056424e-06,-3.021534854436148e-06,0.0016785055115136945,-0.001380958707021559,-1.3510554118028212e-07,1.510767427218074e-07
sy_loamy_sand,-0.1,0.171,0.22452554576132733,0.6413931251261455,0.049874966290763045,0.8859789627352512,0.1372002560260452,0.7636860439306984,-0.03389507216953625,0.02788360837202275,-1.0463912233006922e-05,1.1700879683675243e-05,0.003389507216953625,-0.0027883608372022747,1.0463912233006921e-06,-1.1700879683675242e-06
sy_loamy_sand,0.1,0.20900000000000002,0.22452533058118712,0.641393812487046,0.04996251669912248,0.885578306822106,0.1372439236401548,0.763486059654576,-0.002078212489611479,0.0016895931029881838,-0.00010630161166282544,0.00011886775658338652,-0.00020782124896114785,0.00016895931029881837,-1.0630161166282542e-05,1.1886775658338651e-05
sy_loamy_sand,0.2,0.22799999999999998,0.22452542064204378,0.6413935248011366,0.04988557607271072,0.8859304467319263,0.13720549835737725,0.7636619857665314,-0.0300754332039367,0.02473246103307611,-6.618998564186661e-05,7.401446275953242e-05,-0.001503771660196835,0.0012366230516538052,-3.3094992820933303e-06,3.700723137976621e-06
sy_sandy_gravel,-0.2,0.17600000000000002,0.19323892215570934,0.7343705013381125,0.05769227325389419,0.8474349481835006,0.12546559770480176,0.7909027247608066,-8.583938045930257,3.5927346409611727,-13.934558635580462,14.496173796918935,0.4291969022965128,-0.1796367320480586,0.6967279317790231,-0.7248086898459467
sy_sandy_gravel,-0.1,0.198,0.20959073987083002,0.6875134917131792,0.053296780199329215,0.8697967864951599,0.13144376003507963,0.7786551391041696,-4.228161897300374,1.9885412917675045,-6.651727655865153,7.190667505687628,0.4228161897300373,-0.19885412917675044,0.6651727655865153,-0.7190667505687628
sy_sandy_gravel,0.1,0.24200000000000002,0.238240330543864,0.5962452397410525,0.047323524075254635,0.897346464071231,0.14278192730955933,0.7467958519061417,4.032991924706838,-2.184400058957535,6.108329369280992,-7.039023938754493,0.40329919247068374,-0.2184400058957535,0.6108329369280991,-0.7039023938754493
sy_sandy_gravel,0.2,0.264,0.2508956014523406,0.5522112432450523,0.04551912216915447,0.9050253911744709,0.14820736181074753,0.7286183172097616,7.986042526317188,-4.5653003508341,11.744779128852132,-13.90439245041491,0.39930212631585943,-0.22826501754170503,0.5872389564426066,-0.6952196225207454
ss_clean_gravel,-0.2,2.696e-05,0.22452536817795773,0.6413936923898108,0.04996323590309286,0.8855750126274271,0.1372443020405253,0.763484352508619,-0.0018025044680961128,0.001465990487161195,-8.955662767810431e-05,0.00010014331996184866,9.012522340480564e-05,-7.329952435805974e-05,4.477831383905215e-06,-5.007165998092433e-06
ss_clean_gravel,-0.1,3.033e-05,0.22452557275825025,0.6413930388884508,0.04996806179498233,0.8855529072022343,0.13724681727661628,0.7634729730453426,3.0133183413074616e-05,-2.449586804821892e-05,1.5600737249974148e-06,-1.7444943740248724e-06,-3.0133183413074615e-06,2.449586804821892e-06,-1.5600737249974147e-07,1.7444943740248724e-07
ss_clean_gravel,0.1,3.707e-05,0.22452556607267254,0.6413930602445452,0.04996790324195341,0.8855536335023457,0.13724673465731296,0.7634733468734455,-3.0064444372161442e-05,2.4468276661968214e-05,-1.4175727518505146e-06,1.5851479483920043e-06,-3.006444437216144e-06,2.446827666196821e-06,-1.4175727518505146e-07,1.5851479483920041e-07
ss_clean_gravel,0.2,4.044e-05,0.22452556296105416,0.6413930701841521,0.049967819490445126,0.8855540171505342,0.13724669122574965,0.7634735436673432,-6.170931400710809e-05,5.0244414976576616e-05,-2.803436459909833e-06,3.134838409507678e-06,-3.085465700355405e-06,2.5122207488288308e-06,-1.4017182299549165e-07,1.567419204753839e-07
ss_clayey_sand,-0.2,0.004296,0.22452427786035425,0.641397175237417,0.05026115760057038,0.8842063534060188,0.13739271773046233,0.762801764321718,0.10633532896543425,-0.08793966548156604,-0.0005751661763347992,0.0006431563142226403,-0.005316766448271713,0.004396983274078302,2.8758308816739956e-05,-3.215781571113201e-05
ss_clayey_sand,-0.1,0.004833,0.22452463531157263,0.6413960334177451,0.05007773124431627,0.88504998101347,0.13730118327794444,0.7632230072156075,0.039641993617884196,-0.03276511371947756,-0.0004159632759435908,0.00046513448006248973,-0.003964199361788419,0.0032765113719477558,4.1596327594359076e-05,-4.6513448006248974e-05
ss_clayey_sand,0.1,0.005907,0.2245266942550073,0.6413894564230467,0.049698102276659356,0.8867861998580875,0.13711239826583332,0.7640878281405671,-0.09790951595013635,0.08050945442463768,0.0005010563051626025,-0.0005602889631164212,-0.009790951595013633,0.008050945442463767,5.0105630516260244e-05,-5.602889631164212e-05
ss_clayey_sand,0.2,0.006443999999999999,0.22452749575364453,0.6413868961361646,0.04950682390801322,0.8876559987591999,0.13701715983082888,0.7645214474476822,-0.16730162688766653,0.13730507341907677,0.0008580306310244875,-0.0009594649257728644,-0.008365081344383326,0.006865253670953839,4.290153155122437e-05,-4.7973246288643224e-05
