Parameter,param_key,|S| RMSE Overall,|S| R² Overall,|S| RMSE P1,|S| R² P1,Avg |S|
Sy (Sandy Gravel),sy_sandy_gravel,0.4136536027032733,0.2062989711655669,0.639993147684061,0.710749364202726,0.4926737714389068
Sy (Clayey Sand),sy_clayey_sand,0.013700102787722292,0.011273506432821576,3.941503922288714e-05,4.4074623925273695e-05,0.006264274720923007
Ss (Sandstone),ss_sandstone,0.010843541340773432,0.008697872508360599,0.0011311266769906167,0.001264852668051836,0.005484348298544121
Ss (Limestone),ss_limestone,0.010747884307375286,0.0087772244002712,0.00031286130698877587,0.0003498470295028722,0.005046954261034534
Ss (Clayey Sand),ss_clayey_sand,0.006859249687364273,0.005647423439860916,4.084044961964591e-05,4.566835157941658e-05,0.0031482954821060627
Sy (Clean Gravel),sy_clean_gravel,0.0030078789851424445,0.0024659234571097234,5.3655960183397805e-05,5.9998407608199665e-05,0.0013968642025109412
Ss (Sandy Gravel),ss_sandy_gravel,0.0007522313035618253,0.00038405466412070303,0.0011546191988578236,0.0012911099063240142,0.0008955037682160916
Ss (Loamy Sand),ss_loamy_sand,0.0016957885272556271,0.0013944566163253693,3.688517743352749e-06,4.1245459577945176e-06,0.0007745145518205359
Sy (Loamy Sand),sy_loamy_sand,0.0016949014094063256,0.0013937254765441145,3.7802893032142116e-06,4.227165876851151e-06,0.0007741585852826265
Ss (Clean Gravel),ss_clean_gravel,2.4807612970921164e-05,2.017703989447682e-05,1.2289419636463751e-06,1.3742180377023762e-06,1.1896953216686686e-05
