iteration,success,sy_clean_gravel,sy_clayey_sand,sy_loamy_sand,sy_sandy_gravel,sy_sandstone,sy_limestone,ss_clean_gravel,ss_clayey_sand,ss_loamy_sand,ss_sandy_gravel,ss_sandstone,ss_limestone,P1_RMSE,P1_R2,Pz12_RMSE,Pz12_R2,Overall_RMSE,Overall_R2
0,True,0.342,0.0883,0.783,0.053,0.001,0.001,1.56e-07,4.13e-06,0.000529,3.25e-06,2.62e-05,1.04e-06,0.12732657978653328,0.8846745291501087,0.18621570885924235,-0.5894701866012417,0.1567711443228878,0.14760217127443348
1,True,0.125,0.784,0.0752,0.395,0.001,0.001,0.000223,6.47e-06,0.000138,2.71e-06,2.01e-07,0.000554,0.31053430756097355,0.31402819585577235,0.021748341481486858,0.9783193626996095,0.1661413245212302,0.6461737792776909
2,True,0.916,0.643,0.657,0.215,0.001,0.001,7.31e-06,0.000309,4.81e-07,2.26e-06,0.000949,1.97e-05,0.22116347886078844,0.6520523440062449,0.04736202950907636,0.8971793451973303,0.1342627541849324,0.7746158446017877
3,True,0.483,0.24,0.967,0.0753,0.001,0.001,0.000332,3.16e-07,0.000752,0.000145,5.85e-05,1.14e-07,0.109701535541811,0.914392364281284,0.1358195588847317,0.15444008105892137,0.12276054721327136,0.5344162226701027
4,True,0.0497,0.822,0.908,0.105,0.001,0.001,6.66e-06,0.000263,1.98e-07,4.41e-06,4.04e-07,2.47e-07,0.12571508464849337,0.8875752646160682,0.09997136902944691,0.5418886665609003,0.11284322683897013,0.7147319655884843
5,True,0.773,0.127,0.851,0.316,0.001,0.001,0.00042,0.000365,0.000462,1.27e-05,3.75e-06,2.42e-05,0.27655405631871743,0.4559395512796083,0.03718384841303109,0.9366234740829984,0.15686895236587425,0.6962815126813033
6,True,0.879,0.0692,0.419,0.17,0.001,0.001,9.09e-07,1.57e-05,5.52e-07,1.11e-07,0.000321,2.59e-07,0.18986500628119804,0.743565209402618,0.07968070401156438,0.708977824843092,0.1347728551463812,0.7262715171228551
7,True,0.858,0.794,0.295,0.237,0.001,0.001,1.24e-05,1.88e-07,1.35e-06,1.66e-07,3.03e-07,0.000117,0.23482951931626422,0.6077233407882635,0.04124327571242544,0.9220302646524665,0.13803639751434482,0.764876802720365
8,True,0.279,0.323,0.207,0.0821,0.001,0.001,8.16e-06,1.23e-06,0.000994,0.000897,2.88e-05,0.00047,0.12143748150392887,0.8950958683182273,0.11703037948928187,0.37220625574644595,0.11923393049660537,0.6336510620323366
9,True,0.232,0.692,0.104,0.225,0.001,0.001,0.00086,0.00075,1.52e-06,8.37e-07,5.58e-06,4.2e-05,0.22722632755476027,0.6327139880172354,0.04657209636494953,0.9005805555465799,0.1368992119598549,0.7666472717819077
10,True,0.644,0.501,0.389,0.135,0.001,0.001,3.98e-06,9.73e-05,1.15e-06,5.64e-06,0.000141,5.8e-05,0.15724043344877273,0.8241203655079332,0.08031834554175392,0.7043014021932046,0.11877938949526332,0.7642108838505689
11,True,0.822,0.963,0.77,0.251,0.001,0.001,2.42e-06,2.26e-07,1.72e-05,9.6e-05,1.49e-06,2.39e-06,0.2441905083535561,0.5758254109902083,0.035526849476651474,0.9421460322640814,0.13985867891510378,0.758985721627145
12,True,0.608,0.896,0.188,0.312,0.001,0.001,2.72e-07,3.29e-06,8.62e-05,2.75e-05,1.07e-07,2.21e-05,0.2756592208869808,0.4594546465978734,0.025316157503659904,0.9706224661664,0.15048768919532035,0.7150385563821366
13,True,0.327,0.633,0.145,0.362,0.001,0.001,4.27e-07,1.53e-07,6.28e-05,2.54e-05,5.27e-07,1.54e-07,0.29748479000162376,0.37046972434153025,0.023442579471199234,0.9748098617455127,0.16046368473641148,0.6726397930435215
14,True,0.593,0.496,0.696,0.371,0.001,0.001,5.52e-05,5.41e-07,0.000643,0.000124,1.22e-06,9.32e-05,0.3015912167276607,0.35296992399857097,0.024109985592352463,0.9733551267343372,0.16285060116000658,0.6631625253664541
15,True,0.753,0.885,0.915,0.191,0.001,0.001,5.36e-06,0.000428,7.31e-06,1.12e-05,5.39e-05,8.59e-06,0.20388291840633363,0.7043017374159822,0.05279019126255476,0.8722602010882146,0.1283365548344442,0.7882809692520985
16,True,0.269,0.179,0.871,0.0401,0.001,0.001,0.000139,0.000661,0.000373,6.96e-06,4.95e-05,1.85e-06,0.131229162393776,0.877496695621588,0.19185265894860495,-0.6871566280022794,0.16154091067119047,0.09517003380965433
17,True,0.882,0.951,0.886,0.158,0.001,0.001,0.000153,5.2e-05,3.34e-05,0.000779,9.05e-07,0.000146,0.1869740003703748,0.7513150348299471,0.06139972230652408,0.8271964854482041,0.12418686133844943,0.7892557601390756
18,True,0.845,0.726,0.24,0.262,0.001,0.001,9.88e-05,7.37e-06,0.000511,8.09e-06,1.54e-07,8.79e-05,0.24954785363220536,0.5570091382701394,0.03598074693135948,0.9406582832029249,0.1427643002817824,0.7488337107365322
19,True,0.944,0.937,0.17,0.199,0.001,0.001,8.14e-07,0.000113,5.28e-06,6.16e-06,0.000193,1.27e-06,0.20982358171320217,0.6868188011924405,0.04742427347822563,0.8969089103699955,0.1286239275957139,0.7918638557812181
