time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.21788749,37.20658399,37.19057317,37.23611903,37.28797050,37.53503280,37.23253846,37.55068501,37.15886375,37.18738844,37.39873215,37.21906215
1.948280537101,37.21741662,37.20658399,37.19057317,37.23611902,37.28797050,37.53503280,37.23253845,37.55068501,37.15886375,37.18738844,37.39873215,37.21906030
3.275873289043,37.21598242,37.20658399,37.19057317,37.23611902,37.28797050,37.53503280,37.23253844,37.55068501,37.15886376,37.18738844,37.39873215,37.21905291
5.134503141762,37.21278466,37.20658399,37.19057317,37.23611902,37.28797050,37.53503280,37.23253843,37.55068501,37.15886376,37.18738844,37.39873215,37.21903382
7.736584935567,37.20665483,37.20658399,37.19057317,37.23611902,37.28797050,37.53503280,37.23253841,37.55068501,37.15886377,37.18738845,37.39873215,37.21899384
11.37949944690,37.19610373,37.20658399,37.19057317,37.23611901,37.28797050,37.53503280,37.23253839,37.55068501,37.15886378,37.18738845,37.39873215,37.21892004
16.47957976276,37.17955859,37.20658398,37.19057317,37.23611900,37.28797050,37.53503280,37.23253836,37.55068501,37.15886379,37.18738845,37.39873215,37.21879509
23.61969220496,37.15579234,37.20658398,37.19057317,37.23611899,37.28797050,37.53503280,37.23253831,37.55068501,37.15886381,37.18738846,37.39873215,37.21859602
33.61584962404,37.12438131,37.20658398,37.19057317,37.23611898,37.28797050,37.53503280,37.23253824,37.55068501,37.15886383,37.18738847,37.39873215,37.21829315
47.61047001076,37.08590709,37.20658397,37.19057317,37.23611896,37.28797050,37.53503280,37.23253815,37.55068501,37.15886387,37.18738848,37.39873215,37.21784916
67.20293855217,37.04173078,37.20658396,37.19057317,37.23611893,37.28797051,37.53503280,37.23253802,37.55068501,37.15886391,37.18738849,37.39873215,37.21720802
94.63239451014,36.99346780,37.20658395,37.19057317,37.23611889,37.28797051,37.53503279,37.23253784,37.55068501,37.15886397,37.18738851,37.39873215,37.21627983
133.0336328513,36.94251967,37.20658393,37.19057317,37.23611884,37.28797051,37.53503279,37.23253760,37.55068501,37.15886404,37.18738853,37.39873215,37.21497708
186.7953665289,36.88986580,37.20658390,37.19057317,37.23611878,37.28797051,37.53503279,37.23253725,37.55068501,37.15886415,37.18738855,37.39873215,37.21316089
262.0617936776,36.83610129,37.20658385,37.19057317,37.23611871,37.28797052,37.53503279,37.23253678,37.55068501,37.15886428,37.18738856,37.39873215,37.21065853
367.4347916857,36.78157058,37.20658369,37.19057316,37.23611862,37.28797053,37.53503278,37.23253613,37.55068501,37.15886445,37.18738857,37.39873214,37.20722930
514.9569888971,36.72647557,37.20658247,37.19057316,37.23611853,37.28797054,37.53503278,37.23253525,37.55068501,37.15886466,37.18738856,37.39873214,37.20258494
721.4880649930,36.67094181,37.20657266,37.19057316,37.23611841,37.28797056,37.53503277,37.23253403,37.55068500,37.15886492,37.18738851,37.39873213,37.19636104
1010.631571527,36.61505556,37.20651308,37.19057314,37.23611820,37.28797058,37.53503276,37.23253236,37.55068500,37.15886518,37.18738841,37.39873211,37.18819278
1415.432480675,36.55886820,37.20624723,37.19057306,37.23611757,37.28797061,37.53503274,37.23253016,37.55068499,37.15886540,37.18738823,37.39873208,37.17768309
1982.153753483,36.50242010,37.20535226,37.19057267,37.23611449,37.28797065,37.53503273,37.23252721,37.55068498,37.15886550,37.18738793,37.39873203,37.16436823
2775.563535413,36.44574886,37.20298856,37.19057045,37.23609728,37.28797068,37.53503271,37.23252330,37.55068495,37.15886538,37.18738747,37.39873196,37.14791127
3886.337230115,36.38887680,37.19790576,37.19055696,37.23601267,37.28797061,37.53503270,37.23251813,37.55068491,37.15886494,37.18738679,37.39873185,37.12805580
5441.420402698,36.33180323,37.18869072,37.19048581,37.23567898,37.28797011,37.53503269,37.23251146,37.55068486,37.15886402,37.18738582,37.39873169,37.10462789
7618.536844314,36.27455679,37.17414670,37.19018953,37.23463509,37.28796824,37.53503272,37.23250296,37.55068476,37.15886254,37.18738448,37.39873145,37.07759178
10666.49986258,36.21711090,37.15360441,37.18922793,37.23199846,37.28796254,37.53503279,37.23249233,37.55068460,37.15886025,37.18738268,37.39873111,37.04686504
14933.64808815,36.15939097,37.12696633,37.18674220,37.22646746,37.28794696,37.53503294,37.23247944,37.55068429,37.15885683,37.18738035,37.39873063,37.01245713
20907.65560394,36.10107101,37.09457434,37.18146101,37.21652255,37.28790721,37.53503318,37.23246409,37.55068366,37.15885060,37.18737736,37.39872991,36.97423990
29271.26612605,36.04160614,37.05687055,37.17192005,37.20070162,37.28780983,37.53503350,37.23244577,37.55068230,37.15883536,37.18737328,37.39872883,36.93198357
40980.32085701,35.98000921,37.01415007,37.15678454,37.17777800,37.28757191,37.53503379,37.23241897,37.55067939,37.15878595,37.18736589,37.39872713,36.88518572
57372.99748035,35.91518621,36.96632091,37.13510555,37.14677885,37.28697276,37.53503357,37.23231978,37.55067311,37.15848842,37.18733985,37.39872432,36.83351100
80322.74475303,35.84593337,36.91310278,37.10649769,37.10683870,37.28543779,37.53503142,37.23199104,37.55065973,37.15773842,37.18724370,37.39871938,36.77612448
112452.3909348,35.77174205,36.85465758,37.07128289,37.05726459,37.28166976,37.53502265,37.23105052,37.55063140,37.15610725,37.18694791,37.39871044,36.71296128
157433.8955892,35.69265809,36.79159150,37.03061627,36.99774709,37.27334117,37.53499455,37.22879214,37.55057125,37.15297328,37.18618465,37.39869350,36.64424192
