time,HD__1_63_61,HD__1_48_76,HD__1_41_82,HD__1_86_51,HD__1_38_35,HD__1_118_33,HD__1_111_87,HD__1_40_14,HD__1_27_108,HD__1_7_52,HD__1_14_9,HD__2_63_61
1.000000000000,37.17403971,37.14856410,37.10936577,37.22354389,37.21938413,37.55822303,37.37068077,37.40155924,37.01635518,37.12604025,37.29217376,37.17503086
26.14181517405,37.17403952,37.14856400,37.10936577,37.22354391,37.21938413,37.55822303,37.37068072,37.40155924,37.01635520,37.12604023,37.29217376,37.17503060
56.31199338292,37.17403929,37.14856380,37.10936577,37.22354393,37.21938414,37.55822303,37.37068065,37.40155924,37.01635523,37.12604021,37.29217376,37.17503034
92.51620723355,37.17403896,37.14856290,37.10936577,37.22354395,37.21938414,37.55822303,37.37068056,37.40155924,37.01635525,37.12604018,37.29217376,37.17503005
135.9612638543,37.17403804,37.14855858,37.10936577,37.22354397,37.21938415,37.55822303,37.37068046,37.40155924,37.01635528,37.12604016,37.29217376,37.17502971
188.0953317992,37.17403404,37.14854143,37.10936576,37.22354398,37.21938415,37.55822303,37.37068033,37.40155924,37.01635530,37.12604015,37.29217377,37.17502926
250.6562133331,37.17401690,37.14848626,37.10936576,37.22354399,37.21938416,37.55822303,37.37068018,37.40155924,37.01635533,37.12604013,37.29217377,37.17502848
325.7292711738,37.17395482,37.14833832,37.10936575,37.22354399,37.21938416,37.55822303,37.37067999,37.40155924,37.01635535,37.12604013,37.29217377,37.17502657
415.8169405826,37.17376613,37.14799868,37.10936574,37.22354398,37.21938417,37.55822303,37.37067977,37.40155924,37.01635537,37.12604013,37.29217377,37.17502092
523.9221438732,37.17327639,37.14731544,37.10936573,37.22354396,37.21938418,37.55822303,37.37067949,37.40155924,37.01635540,37.12604015,37.29217377,37.17500434
653.6483878219,37.17217008,37.14608739,37.10936572,37.22354390,37.21938419,37.55822303,37.37067916,37.40155924,37.01635543,37.12604019,37.29217378,37.17495990
809.3198805603,37.16995171,37.14408101,37.10936571,37.22354378,37.21938421,37.55822304,37.37067876,37.40155925,37.01635546,37.12604025,37.29217378,37.17485228
996.1256718465,37.16595464,37.14105582,37.10936568,37.22354347,37.21938423,37.55822304,37.37067827,37.40155925,37.01635550,37.12604033,37.29217379,37.17461702
1220.292621390,37.15937736,37.13678739,37.10936564,37.22354257,37.21938425,37.55822304,37.37067769,37.40155925,37.01635555,37.12604045,37.29217379,37.17414711
1489.292960842,37.14935780,37.13108096,37.10936553,37.22353992,37.21938428,37.55822304,37.37067699,37.40155925,37.01635560,37.12604061,37.29217380,37.17327957
1812.093368184,37.13509216,37.12376832,37.10936512,37.22353237,37.21938431,37.55822305,37.37067616,37.40155925,37.01635566,37.12604081,37.29217382,37.17178632
2199.453856995,37.11589461,37.11469554,37.10936357,37.22351213,37.21938434,37.55822306,37.37067517,37.40155925,37.01635572,37.12604105,37.29217383,37.16936535
2664.286443568,37.09128142,37.10370166,37.10935831,37.22346180,37.21938439,37.55822306,37.37067399,37.40155925,37.01635579,37.12604135,37.29217385,37.16563993
3222.085547456,37.06096653,37.09060185,37.10934225,37.22334591,37.21938444,37.55822308,37.37067257,37.40155925,37.01635587,37.12604170,37.29217388,37.16015811
3891.444472121,37.02488621,37.07516223,37.10929839,37.22309884,37.21938451,37.55822309,37.37067090,37.40155925,37.01635596,37.12604210,37.29217391,37.15240158
4694.675181719,36.98314501,37.05710768,37.10919056,37.22260912,37.21938459,37.55822311,37.37066893,37.40155925,37.01635605,37.12604257,37.29217394,37.14179232
5658.552033237,36.93598818,37.03612485,37.10894995,37.22170271,37.21938468,37.55822314,37.37066661,37.40155925,37.01635614,37.12604310,37.29217399,37.12770411
6815.204255059,36.88376070,37.01188114,37.10845823,37.22012865,37.21938480,37.55822317,37.37066389,37.40155924,37.01635622,37.12604369,37.29217405,37.10949133
8203.186921245,36.82688963,36.98403993,37.10752949,37.21754936,37.21938493,37.55822321,37.37066069,37.40155924,37.01635630,37.12604434,37.29217412,37.08650477
9868.766120668,36.76573127,36.95229437,37.10589468,37.21353837,37.21938509,37.55822327,37.37065694,37.40155923,37.01635636,37.12604505,37.29217420,37.05810674
11867.46115998,36.70067303,36.91642980,37.10319250,37.20758963,37.21938525,37.55822335,37.37065256,37.40155922,37.01635637,37.12604583,37.29217431,37.02372324
14265.89520714,36.63201034,36.87626563,37.09896918,37.19912857,37.21938533,37.55822345,37.37064747,37.40155921,37.01635626,37.12604668,37.29217443,36.98285397
17144.01606375,36.55998809,36.83171876,37.09269029,37.18753610,37.21938506,37.55822359,37.37064157,37.40155919,37.01635577,37.12604762,37.29217458,36.93510849
20597.76109167,36.48482559,36.78274749,37.08376484,37.17217494,37.21938373,37.55822376,37.37063480,37.40155917,37.01635405,37.12604865,37.29217475,36.88025740
24742.25512518,36.40647927,36.72934130,37.07157342,37.15240646,37.21937942,37.55822397,37.37062705,37.40155914,37.01634876,37.12604978,37.29217496,36.81824702
29715.64796539,36.32490408,36.67147402,37.05550254,37.12761901,37.21936768,37.55822424,37.37061787,37.40155910,37.01633397,37.12605087,37.29217521,36.74919215
35683.71937364,36.23995409,36.60907990,37.03497128,37.09723558,37.21933858,37.55822457,37.37060552,37.40155901,37.01629310,37.12605139,37.29217551,36.67336331
42845.40506354,36.15129607,36.54204909,37.00945520,37.06072388,37.21927111,37.55822497,37.37058449,37.40155882,37.01618526,37.12604948,37.29217586,36.59113062
51439.42789143,36.05852655,36.47021952,36.97850654,37.01758596,37.21912242,37.55822545,37.37054247,37.40155838,37.01595841,37.12604016,37.29217628,36.50287292
61752.25528489,35.96130887,36.39337870,36.94177943,36.96736171,37.21880786,37.55822597,37.37045082,37.40155737,37.01552152,37.12601181,37.29217675,36.40895531
74127.64815704,35.85929177,36.31132284,36.89905832,36.90960815,37.21816652,37.55822646,37.37025051,37.40155518,37.01473982,37.12594055,37.29217727,36.30972715
88978.11960362,35.75215532,36.22386717,36.85029251,36.84390184,37.21690756,37.55822671,37.36984198,37.40155072,37.01344779,37.12578235,37.29217779,36.20513699
106798.6853395,35.63962409,36.13100725,36.79565352,36.76983871,37.21453817,37.55822619,37.36907115,37.40154215,37.01144615,37.12546372,37.29217822,36.09541250
128183.3642226,35.52165837,36.03282513,36.73552068,36.68705623,37.21028533,37.55822378,37.36773731,37.40152650,37.00853050,37.12487398,37.29217839,35.98047774
153844.9788823,35.39829793,35.92962948,36.67050895,36.59527385,37.20303677,37.55821708,37.36560470,37.40149903,37.00451278,37.12386319,37.29217798,35.86011336
184638.9164739,35.26976762,35.82209901,36.60143559,36.49442319,37.19133522,37.55820134,37.36244392,37.40145226,36.99925149,37.12224783,37.29217641,35.73521974
221591.6415839,35.13665949,35.71101556,36.52926651,36.38472407,37.17345487,37.55816755,37.35807766,37.40137439,36.99268553,37.11983198,37.29217268,35.60622354
265934.9117158,34.99981324,35.59740085,36.45506689,36.26681413,37.14756312,37.55809915,37.35243305,37.40124661,36.98485629,37.11644267,37.29216498,35.47381799
319146.8358742,34.86040432,35.48250918,36.37997050,36.14186133,37.11194604,37.55796668,37.34557667,37.40103875,36.97591780,37.11196784,37.29215016,35.33911430
383001.1448642,34.71995866,35.36773484,36.30514897,36.01159484,37.06525267,37.55771877,37.33772042,37.40070222,36.96613434,37.10640022,37.29212267,35.20338658
459626.3156522,34.58039723,35.25471568,36.23182213,35.87830623,37.00670300,37.55726760,37.32919159,37.40015842,36.95584968,37.09985434,37.29207293,35.06864766
551576.5205978,34.44391977,35.14523846,36.16124289,35.74478417,36.93623072,37.55646671,37.32038359,37.39928043,36.94545802,37.09257378,37.29198483,34.93682514
661916.7665325,34.31296959,35.04117938,36.09464837,35.61409469,36.85454023,37.55507765,37.31169120,37.39786397,36.93535425,37.08490184,37.29183196,34.81032305
794325.0616542,34.18999920,34.94439475,36.03320262,35.48938343,36.76308633,37.55273258,37.30346276,37.39558307,36.92589334,37.07722347,37.29157258,34.69144983
953215.0158002,34.07723878,34.85643575,35.97784883,35.37348493,36.66398715,37.54889866,37.29596421,37.39192654,36.91735046,37.06990621,37.29114291,34.58226362
1143882.960775,33.97643526,34.77850430,35.92923962,35.26869510,36.55986013,37.54287236,37.28936205,37.38611568,36.90989519,37.06323630,37.29044921,34.48446928
1372684.494746,33.88862940,34.71122765,35.88766319,35.17654156,36.45360155,37.53383573,37.28372685,37.37702039,36.90359135,37.05738770,37.28935920,34.39910567
1647246.335510,33.81404524,34.65453589,35.85290318,35.09751213,36.34811931,37.52099672,37.27904846,37.36310161,36.89841140,37.05242015,37.28768598,34.32638813
1976720.544427,33.75204670,34.60783459,35.82453777,35.03132710,36.24609157,37.50377152,37.27525668,37.34243570,36.89426218,37.04828176,37.28518115,34.26571068
2372089.595128,33.70140447,34.56998573,35.80178492,34.97683434,36.14969988,37.48198582,37.27225661,37.31284108,36.89102702,37.04488208,37.28150703,34.21589221
2846532.455968,33.66044191,34.53960581,35.78368156,34.93244547,36.06044914,37.45600086,37.26990090,37.27215481,36.88852304,37.04209283,37.27620724,34.17537221
3415863.888977,33.62741613,34.51523681,35.76909792,34.89651018,35.97916709,37.42666832,37.26782202,37.21868861,36.88623223,37.03958497,37.26869830,34.14274346
4099061.608588,33.60062762,34.49559984,35.75745415,34.86711274,35.90593533,37.39519170,37.26622460,37.15138689,36.88453241,37.03748934,37.25833090,34.11603834
4918898.872121,33.57860352,34.47955356,35.74800138,34.84280068,35.84035179,37.36285610,37.26493270,37.07026114,36.88317590,37.03567607,37.24438574,34.09392014
5902703.588360,33.56012218,34.46615609,35.74015389,34.82230761,35.78164153,37.33073533,37.26386254,36.97654129,36.88205752,37.03404727,37.22628836,34.07525197
7083269.247847,33.54428425,34.45471697,35.73347957,34.80464871,35.72887004,37.29962956,37.26295609,36.87268467,36.88110841,37.03254830,37.20379675,34.05920240
8499948.039232,33.53042836,34.44471723,35.72766817,34.78913582,35.68117743,37.27009442,37.26217719,36.76219710,36.88029200,37.03114893,37.17719410,34.04514544
10199962.58889,33.51820707,34.43595582,35.72257567,34.77534983,35.63801540,37.24256696,37.26148973,36.64943708,36.87955954,37.02983674,37.14734842,34.03271083
12239980.04849,33.50737473,34.42820743,35.71808062,34.76311728,35.59913000,37.21741221,37.26088814,36.53910541,36.87891459,37.02862482,37.11576352,34.02167643
14688001.00000,33.49789725,34.42143609,35.71415598,34.75241633,35.56464796,37.19505028,37.26036682,36.43591032,36.87835077,37.02753151,37.08428939,34.01200873
